Time,RAM-Usage
07.07.2021 22:45:00,1155
07.07.2021 22:50:00,1190
07.07.2021 22:55:00,1051
07.07.2021 23:00:00,972
07.07.2021 23:05:00,1040
07.07.2021 23:10:00,1062
07.07.2021 23:15:00,1018
07.07.2021 23:20:00,988
07.07.2021 23:25:00,1108
07.07.2021 23:30:00,1321
07.07.2021 23:35:00,1092
07.07.2021 23:40:00,1190
07.07.2021 23:45:00,1053
07.07.2021 23:50:00,1053
07.07.2021 23:55:00,1094
08.07.2021 00:00:00,1062
08.07.2021 00:05:00,1138
08.07.2021 00:10:00,1245
08.07.2021 00:15:00,1275
08.07.2021 00:20:00,1302
08.07.2021 00:25:00,1122
08.07.2021 00:30:00,1433
08.07.2021 00:35:00,1146
08.07.2021 00:40:00,999
08.07.2021 00:45:00,1089
08.07.2021 00:50:00,958
08.07.2021 00:55:00,868
08.07.2021 01:00:00,868
08.07.2021 01:05:00,1065
08.07.2021 01:10:00,936
08.07.2021 01:15:00,862
08.07.2021 01:20:00,911
08.07.2021 01:25:00,917
08.07.2021 01:30:00,1157
08.07.2021 01:35:00,993
08.07.2021 01:40:00,942
08.07.2021 01:45:00,939
08.07.2021 01:50:00,852
08.07.2021 01:55:00,786
08.07.2021 02:00:00,895
08.07.2021 02:05:00,838
08.07.2021 02:10:00,917
08.07.2021 02:15:00,775
08.07.2021 02:20:00,920
08.07.2021 02:25:00,920
08.07.2021 02:30:00,1403
08.07.2021 02:35:00,983
08.07.2021 02:40:00,783
08.07.2021 02:45:00,895
08.07.2021 02:50:00,887
08.07.2021 02:55:00,909
08.07.2021 03:00:00,879
08.07.2021 03:05:00,901
08.07.2021 03:10:00,860
08.07.2021 03:15:00,843
08.07.2021 03:20:00,884
08.07.2021 03:25:00,925
08.07.2021 03:30:00,1187
08.07.2021 03:35:00,876
08.07.2021 03:40:00,917
08.07.2021 03:45:00,852
08.07.2021 03:50:00,843
08.07.2021 03:55:00,715
08.07.2021 04:00:00,840
08.07.2021 04:05:00,1078
08.07.2021 04:10:00,901
08.07.2021 04:15:00,890
08.07.2021 04:20:00,808
08.07.2021 04:25:00,933
08.07.2021 04:30:00,1395
08.07.2021 04:35:00,945
08.07.2021 04:40:00,840
08.07.2021 04:45:00,1010
08.07.2021 04:50:00,933
08.07.2021 04:55:00,898
08.07.2021 05:00:00,868
08.07.2021 05:05:00,988
08.07.2021 05:10:00,917
08.07.2021 05:15:00,852
08.07.2021 05:20:00,879
08.07.2021 05:25:00,974
08.07.2021 05:30:00,1149
08.07.2021 05:35:00,914
08.07.2021 05:40:00,780
08.07.2021 05:45:00,972
08.07.2021 05:50:00,1007
08.07.2021 05:55:00,901
08.07.2021 06:00:00,835
08.07.2021 06:05:00,906
08.07.2021 06:10:00,884
08.07.2021 06:15:00,854
08.07.2021 06:20:00,928
08.07.2021 06:25:00,911
08.07.2021 06:30:00,1286
08.07.2021 06:35:00,980
08.07.2021 06:40:00,857
08.07.2021 06:45:00,870
08.07.2021 06:50:00,821
08.07.2021 06:55:00,832
08.07.2021 07:00:00,876
08.07.2021 07:05:00,838
08.07.2021 07:10:00,881
08.07.2021 07:15:00,974
08.07.2021 07:20:00,1004
08.07.2021 07:25:00,961
08.07.2021 07:30:00,1275
08.07.2021 07:35:00,942
08.07.2021 07:40:00,917
08.07.2021 07:45:00,966
08.07.2021 07:50:00,950
08.07.2021 07:55:00,1106
08.07.2021 08:00:00,925
08.07.2021 08:05:00,1092
08.07.2021 08:10:00,999
08.07.2021 08:15:00,901
08.07.2021 08:20:00,961
08.07.2021 08:25:00,1021
08.07.2021 08:30:00,1294
08.07.2021 08:35:00,974
08.07.2021 08:40:00,868
08.07.2021 08:45:00,770
08.07.2021 08:50:00,811
08.07.2021 08:55:00,1048
08.07.2021 09:00:00,983
08.07.2021 09:05:00,860
08.07.2021 09:10:00,991
08.07.2021 09:15:00,901
08.07.2021 09:20:00,928
08.07.2021 09:25:00,939
08.07.2021 09:30:00,1075
08.07.2021 09:35:00,939
08.07.2021 09:40:00,933
08.07.2021 09:45:00,950
08.07.2021 09:50:00,811
08.07.2021 09:55:00,840
08.07.2021 10:00:00,901
08.07.2021 10:05:00,980
08.07.2021 10:10:00,1032
08.07.2021 10:15:00,917
08.07.2021 10:20:00,884
08.07.2021 10:25:00,928
08.07.2021 10:30:00,1204
08.07.2021 10:35:00,1015
08.07.2021 10:40:00,884
08.07.2021 10:45:00,893
08.07.2021 10:50:00,974
08.07.2021 10:55:00,1007
08.07.2021 11:00:00,901
08.07.2021 11:05:00,963
08.07.2021 11:10:00,950
08.07.2021 11:15:00,1029
08.07.2021 11:20:00,952
08.07.2021 11:25:00,879
08.07.2021 11:30:00,1242
08.07.2021 11:35:00,1073
08.07.2021 11:40:00,1062
08.07.2021 11:45:00,1026
08.07.2021 11:50:00,991
08.07.2021 11:55:00,906
08.07.2021 12:00:00,884
08.07.2021 12:05:00,920
08.07.2021 12:10:00,933
08.07.2021 12:15:00,988
08.07.2021 12:20:00,895
08.07.2021 12:25:00,931
08.07.2021 12:30:00,1272
08.07.2021 12:35:00,1075
08.07.2021 12:40:00,1034
08.07.2021 12:45:00,1059
08.07.2021 12:50:00,903
08.07.2021 12:55:00,843
08.07.2021 13:00:00,887
08.07.2021 13:05:00,917
08.07.2021 13:10:00,925
08.07.2021 13:15:00,991
08.07.2021 13:20:00,881
08.07.2021 13:25:00,1081
08.07.2021 13:30:00,1335
08.07.2021 13:35:00,1056
08.07.2021 13:40:00,933
08.07.2021 13:45:00,909
08.07.2021 13:50:00,1075
08.07.2021 13:55:00,955
08.07.2021 14:00:00,1070
08.07.2021 14:05:00,1042
08.07.2021 14:10:00,936
08.07.2021 14:15:00,857
08.07.2021 14:20:00,873
08.07.2021 14:25:00,993
08.07.2021 14:30:00,1310
08.07.2021 14:35:00,1013
08.07.2021 14:40:00,846
08.07.2021 14:45:00,936
08.07.2021 14:50:00,895
08.07.2021 14:55:00,879
08.07.2021 15:00:00,1002
08.07.2021 15:05:00,999
08.07.2021 15:10:00,947
08.07.2021 15:15:00,950
08.07.2021 15:20:00,901
08.07.2021 15:25:00,931
08.07.2021 15:30:00,1190
08.07.2021 15:35:00,1010
08.07.2021 15:40:00,912
08.07.2021 15:45:00,914
08.07.2021 15:50:00,901
08.07.2021 15:55:00,1024
08.07.2021 16:00:00,991
08.07.2021 16:05:00,1007
08.07.2021 16:10:00,1015
08.07.2021 16:15:00,947
08.07.2021 16:20:00,840
08.07.2021 16:25:00,1040
08.07.2021 16:30:00,1398
08.07.2021 16:35:00,1146
08.07.2021 16:40:00,917
08.07.2021 16:45:00,901
08.07.2021 16:50:00,819
08.07.2021 16:55:00,884
08.07.2021 17:00:00,958
08.07.2021 17:05:00,832
08.07.2021 17:10:00,901
08.07.2021 17:15:00,1111
08.07.2021 17:20:00,966
08.07.2021 17:25:00,1040
08.07.2021 17:30:00,1302
08.07.2021 17:35:00,1053
08.07.2021 17:40:00,1001
08.07.2021 17:45:00,1037
08.07.2021 17:50:00,881
08.07.2021 17:55:00,985
08.07.2021 18:00:00,999
08.07.2021 18:05:00,870
08.07.2021 18:10:00,991
08.07.2021 18:15:00,1010
08.07.2021 18:20:00,819
08.07.2021 18:25:00,843
08.07.2021 18:30:00,1127
08.07.2021 18:35:00,933
08.07.2021 18:40:00,876
08.07.2021 18:45:00,917
08.07.2021 18:50:00,852
08.07.2021 18:55:00,860
08.07.2021 19:00:00,925
08.07.2021 19:05:00,876
08.07.2021 19:10:00,846
08.07.2021 19:15:00,933
08.07.2021 19:20:00,857
08.07.2021 19:25:00,911
08.07.2021 19:30:00,1146
08.07.2021 19:35:00,1138
08.07.2021 19:40:00,944
08.07.2021 19:45:00,1037
08.07.2021 19:50:00,1081
08.07.2021 19:55:00,1042
08.07.2021 20:00:00,955
08.07.2021 20:05:00,944
08.07.2021 20:10:00,925
08.07.2021 20:15:00,1010
08.07.2021 20:20:00,969
08.07.2021 20:25:00,1010
08.07.2021 20:30:00,1247
08.07.2021 20:35:00,936
08.07.2021 20:40:00,843
08.07.2021 20:45:00,811
08.07.2021 20:50:00,780
08.07.2021 20:55:00,832
08.07.2021 21:00:00,829
08.07.2021 21:05:00,873
08.07.2021 21:10:00,884
08.07.2021 21:15:00,786
08.07.2021 21:20:00,802
08.07.2021 21:25:00,1048
08.07.2021 21:30:00,1114
08.07.2021 21:35:00,988
08.07.2021 21:40:00,854
08.07.2021 21:45:00,780
08.07.2021 21:50:00,931
08.07.2021 21:55:00,917
08.07.2021 22:00:00,933
08.07.2021 22:05:00,950
08.07.2021 22:10:00,909
08.07.2021 22:15:00,1015
08.07.2021 22:20:00,827
08.07.2021 22:25:00,999
08.07.2021 22:30:00,1310
08.07.2021 22:35:00,1097
08.07.2021 22:40:00,950
08.07.2021 22:45:00,909
08.07.2021 22:50:00,1037
08.07.2021 22:55:00,963
08.07.2021 23:00:00,961
08.07.2021 23:05:00,898
08.07.2021 23:10:00,911
08.07.2021 23:15:00,1040
08.07.2021 23:20:00,1021
08.07.2021 23:25:00,1051
08.07.2021 23:30:00,1073
08.07.2021 23:35:00,840
08.07.2021 23:40:00,849
08.07.2021 23:45:00,966
08.07.2021 23:50:00,835
08.07.2021 23:55:00,821
09.07.2021 00:00:00,788
09.07.2021 00:05:00,884
09.07.2021 00:10:00,876
09.07.2021 00:15:00,901
09.07.2021 00:20:00,1138
09.07.2021 00:25:00,901
09.07.2021 00:30:00,1204
09.07.2021 00:35:00,1040
09.07.2021 00:40:00,816
09.07.2021 00:45:00,904
09.07.2021 00:50:00,854
09.07.2021 00:55:00,780
09.07.2021 01:00:00,832
09.07.2021 01:05:00,797
09.07.2021 01:10:00,922
09.07.2021 01:15:00,1059
09.07.2021 01:20:00,955
09.07.2021 01:25:00,1045
09.07.2021 01:30:00,1144
09.07.2021 01:35:00,903
09.07.2021 01:40:00,887
09.07.2021 01:45:00,914
09.07.2021 01:50:00,854
09.07.2021 01:55:00,835
09.07.2021 02:00:00,756
09.07.2021 02:05:00,829
09.07.2021 02:10:00,890
09.07.2021 02:15:00,1045
09.07.2021 02:20:00,901
09.07.2021 02:25:00,827
09.07.2021 02:30:00,1141
09.07.2021 02:35:00,966
09.07.2021 02:40:00,786
09.07.2021 02:45:00,778
09.07.2021 02:50:00,778
09.07.2021 02:55:00,925
09.07.2021 03:00:00,966
09.07.2021 03:05:00,860
09.07.2021 03:10:00,884
09.07.2021 03:15:00,1053
09.07.2021 03:20:00,947
09.07.2021 03:25:00,876
09.07.2021 03:30:00,1007
09.07.2021 03:35:00,947
09.07.2021 03:40:00,808
